,description,value
0,"<html><body><p>Know how of Automotive Diagnosis, UDS over CAN and implementation of ISO14229</p><p>Hands on experience is device driver development for Infineon controllers.</p><ul><li>Experience in programming Embedded C</li><li>Should have detailed knowledge on microcontrollers</li><li>Strong communication skills, interpersonal skills and problem solving skills</li><li>Must be a self-starter, self learner</li><li>Ability to work as part of a dedicated project team and independently</li><li>Strong C Programming skills</li><li>Embedded development tools and methodologies</li><li>Hands on experience with debuggers, compilers</li><li>Strong analysis and debugging skills</li><li>Diagnosis Event Manager ( DEM ).</li><li>Failure Management ( FM ).</li></ul><p> </p><ul><li>Experience in configuration management &amp; defect tracking tools</li><li>Experience in using tools like Function Generator / Oscilloscope, etc.</li><li>Experience in embedded security domain is added advantage.</li></ul></body></html>",Bengaluru
1,"<html><body><ul><li><p>Total 4+ years of experience with min 2 +  years of experience with IBM Planning Analytics  and min 2  in IBM TM1</p></li><li><p>Experience in at least 2 projects with complete software development lifecycle</p></li><li><p>Experience in implementing at least 2 end to end IBM PA / TM1 projects</p></li><li><p>Min 2+ years of experience in developing end-to-end analytics solutions, including system configuration, model building, data security, and reporting, TM1 cubes / Rules / TI processes / Active Forms / Web sheets.</p></li><li><p>Experience in design and develop new functionalities and integrate it with existing complex model.</p></li><li><p>Experience with :</p><ul><li><p>MS Excel, VBA Scripting.</p></li><li><p>SQL – Basics.</p></li><li><p>Windows batch scripts.</p></li><li><p>Unix.</p></li><li><p>Experience with any Object Oriented Programming language (preferably Python).</p></li></ul></li></ul><p>Experience with Job scheduler and monitoring tools (preferably cubewise pulse).</p></body></html>",Bengaluru
2,"<html><body><ul><li><p>Total of 8+ years of experience with 3 + years of experience in leading a development team</p></li><li><p>Experience in at least 3 projects with complete software development lifecycle</p></li><li><p>Min 2 +  years of experience in IBM PA</p></li><li><p>Min 5 + years of experience in IBM TM1</p></li><li><p>Experience in implementing at least 2 end to end IBM PA / TM1 projects</p></li><li><p>Min 5+ years of experience in development of end-to-end analytics solutions, including system configuration, model building, data security, and reporting, TM1 cubes / Rules / TI processes / Active Forms / Web sheets.</p></li><li><p>Experience in design and develop new functionalities and integrate it with existing complex model.</p></li><li><p>Experience with :</p><ul><li><p>Unix.</p></li><li><p>Experience with any Object Oriented Programming language (preferably Python).</p></li><li><p>Experience with Job scheduler and monitoring tools (preferably cubewise pulse).MS Excel, VBA Scripting</p></li></ul></li></ul><p>SQL &amp; Windows batch scripts.</p></body></html>",Bengaluru
3,"<html><body><p>Work Experience : 8-12 years</p><p>Work location : Bangalore</p><p>Must Have Skills : Microsoft Teams Development, Skype for Business, O356 /M365</p><p>Good To Have Skills : Microsoft SharePoint Server, Azure, Exchange Server</p><p>O365 / M365 migration from on premises - Work experience in at-least one migration mandatory</p><p>Understand customer business needs and technical requirements to design O365 / M365 solutions</p><p>Designing O365 / M365 solutions</p><p>Ability to architect Enterprise Solutions on MS Teams, Skype and other Collaboration technologies</p><p>Hands-on Experience in Planning, Design &amp; Deployment of MS Teams and Skype online</p><p>Ability to extend MS Teams / Skype and exchange Architectures with other technologies</p><p>Deep Experience on MS Teams, Skype Exhange and  Office 365</p><p>Office 365 Identity synchronization planning, design, and deployment of AAD connect service for Office 365 identity management. Active Directory Federation Services</p><p>Azure Active Directory conditional access with office 365 and third-party applications</p><p>Understanding of Active Directory, DNS, and Group policies</p><p>Windows PowerShell for automation of day to day administrative and Office 365 configuration tasks</p><p>Ability to create and deliver technical presentations and training.</p><p>Have good client expectation management and presentation skills</p><p>Ability to build relationships and credibility with customers quickly.</p><p>Should have good problem solving and analytical skills</p><p>Excellent organization and planning skills</p></body></html>",Bengaluru
4,"<html><body><p><strong>Job Description </strong></p><ul><li><p><strong> Financial analysis and reporting</strong></p></li><li><p><strong>Pricing </strong></p></li><li><p><strong>Monthly Business reporting and Related business models </strong></p></li><li><p><strong>Profitability Statements and analysis</strong></p></li><li><p><strong>Internal and statutory audit support </strong></p></li><li><p><strong>Monthly and annual Provision Computation and posting to SAP </strong></p></li><li><p><strong>Follow up for billing closure for revenue optimisation </strong></p></li><li><p><strong>Analysis of under / over absorption of financials</strong></p></li><li><p><strong>Other related finance activities</strong></p><ul><li><p><strong>Transfer pricing controls for USA,Poland And UK. </strong></p></li></ul></li></ul><p> </p></body></html>",Bengaluru
5,"<html><body><p>Experience in programming Embedded C++ applications with strong background in C++ inheritance, templates and pointers.<br/>• Strong Cyber security knowledge<br/>• OpenGL/OpenGL ES knowledge is an added advantage.<br/>• Experience with rendering engines like Open Scene Graph is an added advantage.<br/>• Strong communication and interpersonal skills.<br/>• Must be a self-starter.<br/>• Ability to work as part of a dedicated project team and independently<br/>• Strong C++ Programming skills<br/>• Automotive domain<br/>• Design methodology using OOAD &amp; UML<br/>• Embedded development tools and methodologies<br/>• Version Control Systems – Clear Case / RTC /GIT<br/>Strong development experience in embedded C and RTOS<br/>Should have detailed knowledge on microcontrollers / microprocessors ( ARM, Renesas preferable)<br/>Strong development experience in Ethernet/ Flexray, UDS / KWP, SPI , UART, I2C communication protocols<br/>Knowledge in tools like CANalyser / CANoe, CANDiva, CANstress, CANDELA studio, Lauterbach<br/>Experience in configuration management &amp; defect tracking tools<br/>Strong debugging skills<br/>Experience in using tools like Logiscope / Function Generator / Oscilloscope, etc.</p></body></html>",Bengaluru
6,"<html><body><p>•Feature/Subsystem ownership in customer projects (e.g.: specialist in some feature /  function).</p><p>•Responsible for Customer interaction and product requirement analysis.</p><p>•Responsible for System Requirement, Design &amp; Implementation of Functions or Base SW development for Advanced Driver Assistance Systems</p><p>•Responsible for Development &amp; Execution of necessary tests as part of development.</p><p>•Responsible for handling complex tasks and delivery of subcomponents / features.</p><p>•Mentoring the lesser experienced team members in progression towards topic ownership.</p><p>•Contribute to improve the team's training and competency plan.</p><p>•Active contribution towards debugging complex issues and solution for the same</p></body></html>",Bengaluru
7,"<html><body><p>The PCM is responsible for the component project tasks regarding time/quality/cost. The PCM reports the progress of the component project, especially in case of deviations of the targets to PjM and TPM. The PCM involves expert teams as nedded PCM supports PjM/TPM in customer meetings if necessary.</p><p><strong>Key tasks &amp; responsibilities:</strong></p><ul><li>Define detailed project schedule at component level</li><li>Handling of technical requests.</li><li>Organize and moderate the PCMe.</li><li>Set-up the Project Management Plan of the Component Project if not included in project PMP</li><li>Plan project costs, setup, maintain and track Development Orders (DO/EA) for components.</li><li>Ensure the fulfilment of project targets on component level and report status on adequate level.</li><li>Track the component development schedule (compatible with project milestones; actual vs. plan).</li><li>Ensure customer sample quality and timing</li><li>Manage component requirements</li><li>Ensure process compliance.</li><li>Select and manage suppliers</li><li>Perform Risk Management. on component level</li></ul></body></html>",Bengaluru
8,"<html><body><p><strong><u>Tasks</u></strong></p><ul><li>Development of Bootloader software for various product lines<ul><li>Understanding of the specification from OEMs, estimation and implementation on product-line platform</li><li>Interactions with Product-line teams and basic-software platform teams</li></ul></li><li>Maintenance of delivered Bootloader software</li><li>Single point of contact for technical queries for the assigned product-line</li><li>Guiding and mentoring the team.</li></ul><p><strong><u>Profile</u></strong><strong>:</strong></p><p><strong>Mandatory Competencies</strong></p><ul><li>Expertise in C language</li><li>Working experience in Bootloader software development</li><li>Strong microcontroller basic.</li><li>Knowledge on Automotive domain – CAN, Diagnostics( UDS, KWP 2000), EEPROM, SPI, Flexray, Ethernet, DOIP</li><li>Knowledge of tools/scripting languages like, CANoe, CANanlyser, CAPL, PERL</li><li>Passion to work on different microcontroller and develop low lever drivers</li><li>Embedded software de-bugging skills</li><li>Good problem solving skills</li></ul><p><strong>Desirable Skills</strong></p><ul><li>Knowledge of Autosar architecture</li><li>Knowledge of integrating basic software</li></ul></body></html>",Bengaluru
9,"<html><body><p>•Feature/Subsystem ownership in customer projects (e.g.: specialist in some feature /  function).</p><p>•Responsible for Customer interaction and product requirement analysis.</p><p>•Responsible for System Requirement, Design &amp; Implementation of Functions or Base SW development (Diagnostics UDS &amp; Memory stack) for Advanced Driver Assistance Systems</p><p>•Responsible for Development &amp; Execution of necessary tests as part of development.</p><p>•Responsible for handling complex tasks and delivery of subcomponents / features.</p><p>•Mentoring the lesser experienced team members in progression towards topic ownership.</p><p>•Contribute to improve the team's training and competency plan.</p><p>•Active contribution towards debugging complex issues and solution for the same</p></body></html>",Bengaluru
